round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
215,4,0.291,0.8925,0.6491,0.3592,0.4625,0.3686,26.3851
216,4,0.167,0.8938,0.6552,0.3689,0.472,0.3671,26.4464
217,4,0.136,0.8938,0.6552,0.3689,0.472,0.3681,26.5075
218,4,0.145,0.8938,0.6552,0.3689,0.472,0.3673,26.5685
219,4,0.124,0.895,0.6667,0.3689,0.475,0.3674,26.6294
220,4,0.138,0.895,0.6667,0.3689,0.475,0.3688,26.6901
221,4,0.113,0.8938,0.6552,0.3689,0.472,0.3705,26.7507
222,4,0.154,0.8962,0.6724,0.3786,0.4845,0.3687,26.8112
223,4,0.14,0.895,0.661,0.3786,0.4815,0.3675,26.8715
224,4,0.157,0.8938,0.6552,0.3689,0.472,0.3672,26.9317
225,4,0.167,0.8938,0.6607,0.3592,0.4654,0.3688,26.9917
226,4,0.153,0.8938,0.6552,0.3689,0.472,0.3672,27.0516
227,4,0.143,0.8962,0.6724,0.3786,0.4845,0.3678,27.1114
228,4,0.147,0.8925,0.6545,0.3495,0.4557,0.3691,27.1711
229,4,0.159,0.89,0.6415,0.3301,0.4359,0.3692,27.2306
230,4,0.143,0.8912,0.6538,0.3301,0.4387,0.3699,27.29
