[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round 116/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3552 | eps=86.136 | duree=0.043s
[server] round 117/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3554 | eps=86.507 | duree=0.058s
[server] round 118/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3557 | eps=86.876 | duree=0.067s
[server] round 119/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3566 | eps=87.243 | duree=0.041s
[server] round 120/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3574 | eps=87.609 | duree=0.056s
[server] round 121/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3577 | eps=87.973 | duree=0.065s
[server] round 122/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3587 | eps=88.336 | duree=0.066s
[server] round 123/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3586 | eps=88.697 | duree=0.068s
[server] round 124/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3581 | eps=89.057 | duree=0.049s
[server] round 125/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3584 | eps=89.415 | duree=0.036s
[server] round 126/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3578 | eps=89.772 | duree=0.036s
[server] round 127/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3575 | eps=90.128 | duree=0.064s
[server] round 128/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3572 | eps=90.482 | duree=0.07s
[server] round 129/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3562 | eps=90.835 | duree=0.04s
[server] round 130/230 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3551 | eps=91.186 | duree=0.072s
