[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  79/230 | actifs= 5 | acc=0.890 prec=0.674 recall=0.282 F1=0.397 loss=0.3220 | eps=15.994 | duree=0.561s
[server] round  80/230 | actifs= 5 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3234 | eps=16.095 | duree=0.333s
[server] round  81/230 | actifs= 5 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3258 | eps=16.195 | duree=0.355s
[server] round  82/230 | actifs= 5 | acc=0.887 prec=0.659 recall=0.262 F1=0.375 loss=0.3257 | eps=16.295 | duree=0.7s
[server] round  83/230 | actifs= 5 | acc=0.887 prec=0.644 recall=0.282 F1=0.392 loss=0.3245 | eps=16.394 | duree=0.374s
[server] round  84/230 | actifs= 5 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3261 | eps=16.492 | duree=0.399s
[server] round  85/230 | actifs= 5 | acc=0.892 prec=0.707 recall=0.282 F1=0.403 loss=0.3247 | eps=16.590 | duree=0.229s
[server] round  86/230 | actifs= 5 | acc=0.895 prec=0.721 recall=0.301 F1=0.425 loss=0.3241 | eps=16.687 | duree=0.29s
[server] round  87/230 | actifs= 5 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3249 | eps=16.784 | duree=0.354s
[server] round  88/230 | actifs= 5 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3258 | eps=16.880 | duree=0.274s
[server] round  89/230 | actifs= 5 | acc=0.890 prec=0.667 recall=0.291 F1=0.405 loss=0.3269 | eps=16.976 | duree=0.299s
[server] round  90/230 | actifs= 5 | acc=0.891 prec=0.674 recall=0.301 F1=0.416 loss=0.3295 | eps=17.071 | duree=0.257s
[server] round  91/230 | actifs= 5 | acc=0.890 prec=0.667 recall=0.291 F1=0.405 loss=0.3291 | eps=17.166 | duree=0.216s
[server] round  92/230 | actifs= 5 | acc=0.889 prec=0.646 recall=0.301 F1=0.411 loss=0.3304 | eps=17.260 | duree=0.277s
[server] round  93/230 | actifs= 5 | acc=0.889 prec=0.652 recall=0.291 F1=0.403 loss=0.3314 | eps=17.353 | duree=0.286s
[server] round  94/230 | actifs= 5 | acc=0.889 prec=0.646 recall=0.301 F1=0.411 loss=0.3272 | eps=17.446 | duree=0.345s
[server] round  95/230 | actifs= 5 | acc=0.887 prec=0.638 recall=0.291 F1=0.400 loss=0.3286 | eps=17.539 | duree=0.226s
[server] round  96/230 | actifs= 5 | acc=0.889 prec=0.646 recall=0.301 F1=0.411 loss=0.3303 | eps=17.631 | duree=0.304s
[server] round  97/230 | actifs= 5 | acc=0.889 prec=0.640 recall=0.311 F1=0.418 loss=0.3293 | eps=17.722 | duree=0.368s
[server] round  98/230 | actifs= 5 | acc=0.890 prec=0.653 recall=0.311 F1=0.421 loss=0.3303 | eps=17.814 | duree=0.282s
[server] round  99/230 | actifs= 5 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3308 | eps=17.904 | duree=0.301s
[server] round 100/230 | actifs= 5 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3308 | eps=17.994 | duree=0.363s
[server] round 101/230 | actifs= 5 | acc=0.889 prec=0.635 recall=0.320 F1=0.426 loss=0.3299 | eps=18.084 | duree=0.321s
[server] round 102/230 | actifs= 5 | acc=0.890 prec=0.642 recall=0.330 F1=0.436 loss=0.3293 | eps=18.174 | duree=0.252s
[server] round 103/230 | actifs= 5 | acc=0.891 prec=0.648 recall=0.340 F1=0.446 loss=0.3290 | eps=18.262 | duree=0.312s
[server] round 104/230 | actifs= 5 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3296 | eps=18.351 | duree=0.229s
[server] round 105/230 | actifs= 5 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3315 | eps=18.439 | duree=0.26s
[server] round 106/230 | actifs= 5 | acc=0.890 prec=0.642 recall=0.330 F1=0.436 loss=0.3330 | eps=18.526 | duree=0.243s
[server] round 107/230 | actifs= 5 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3327 | eps=18.614 | duree=0.263s
