[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  90/230 | actifs= 4 | acc=0.887 prec=0.627 recall=0.311 F1=0.416 loss=0.3212 | eps=45.523 | duree=0.114s
[server] round  91/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3213 | eps=45.775 | duree=0.106s
[server] round  92/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3215 | eps=46.026 | duree=0.108s
[server] round  93/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3221 | eps=46.275 | duree=0.103s
[server] round  94/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3226 | eps=46.523 | duree=0.095s
[server] round  95/230 | actifs= 4 | acc=0.891 prec=0.648 recall=0.340 F1=0.446 loss=0.3224 | eps=46.770 | duree=0.101s
[server] round  96/230 | actifs= 4 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3232 | eps=47.016 | duree=0.097s
[server] round  97/230 | actifs= 4 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3238 | eps=47.260 | duree=0.097s
[server] round  98/230 | actifs= 4 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3251 | eps=47.503 | duree=0.096s
[server] round  99/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3259 | eps=47.745 | duree=0.1s
[server] round 100/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3262 | eps=47.985 | duree=0.096s
[server] round 101/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3259 | eps=48.225 | duree=0.105s
[server] round 102/230 | actifs= 4 | acc=0.892 prec=0.655 recall=0.350 F1=0.456 loss=0.3254 | eps=48.463 | duree=0.098s
[server] round 103/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3251 | eps=48.700 | duree=0.106s
[server] round 104/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3254 | eps=48.936 | duree=0.097s
[server] round 105/230 | actifs= 4 | acc=0.892 prec=0.655 recall=0.350 F1=0.456 loss=0.3256 | eps=49.170 | duree=0.098s
[server] round 106/230 | actifs= 4 | acc=0.895 prec=0.667 recall=0.369 F1=0.475 loss=0.3251 | eps=49.404 | duree=0.104s
[server] round 107/230 | actifs= 4 | acc=0.895 prec=0.667 recall=0.369 F1=0.475 loss=0.3257 | eps=49.636 | duree=0.097s
[server] round 108/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3269 | eps=49.868 | duree=0.101s
[server] round 109/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3281 | eps=50.098 | duree=0.098s
[server] round 110/230 | actifs= 4 | acc=0.892 prec=0.649 recall=0.359 F1=0.463 loss=0.3275 | eps=50.327 | duree=0.099s
[server] round 111/230 | actifs= 4 | acc=0.892 prec=0.655 recall=0.350 F1=0.456 loss=0.3281 | eps=50.556 | duree=0.095s
[server] round 112/230 | actifs= 4 | acc=0.892 prec=0.655 recall=0.350 F1=0.456 loss=0.3278 | eps=50.783 | duree=0.097s
[server] round 113/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3283 | eps=51.009 | duree=0.092s
[server] round 114/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3285 | eps=51.234 | duree=0.099s
[server] round 115/230 | actifs= 4 | acc=0.895 prec=0.667 recall=0.369 F1=0.475 loss=0.3293 | eps=51.458 | duree=0.095s
[server] round 116/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3297 | eps=51.682 | duree=0.116s
[server] round 117/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3299 | eps=51.904 | duree=0.097s
[server] round 118/230 | actifs= 4 | acc=0.892 prec=0.649 recall=0.359 F1=0.463 loss=0.3307 | eps=52.125 | duree=0.102s
[server] round 119/230 | actifs= 4 | acc=0.892 prec=0.649 recall=0.359 F1=0.463 loss=0.3308 | eps=52.346 | duree=0.115s
[server] round 120/230 | actifs= 4 | acc=0.891 prec=0.643 recall=0.350 F1=0.453 loss=0.3311 | eps=52.565 | duree=0.099s
