[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round 140/230 | actifs= 4 | acc=0.892 prec=0.660 recall=0.340 F1=0.449 loss=0.3460 | eps=21.291 | duree=0.142s
[server] round 141/230 | actifs= 4 | acc=0.897 prec=0.684 recall=0.379 F1=0.488 loss=0.3439 | eps=21.367 | duree=0.15s
[server] round 142/230 | actifs= 4 | acc=0.896 prec=0.679 recall=0.369 F1=0.478 loss=0.3457 | eps=21.443 | duree=0.128s
[server] round 143/230 | actifs= 4 | acc=0.896 prec=0.672 recall=0.379 F1=0.484 loss=0.3469 | eps=21.518 | duree=0.134s
[server] round 144/230 | actifs= 4 | acc=0.897 prec=0.684 recall=0.379 F1=0.488 loss=0.3460 | eps=21.593 | duree=0.153s
[server] round 145/230 | actifs= 4 | acc=0.895 prec=0.673 recall=0.359 F1=0.468 loss=0.3457 | eps=21.668 | duree=0.155s
[server] round 146/230 | actifs= 4 | acc=0.896 prec=0.679 recall=0.369 F1=0.478 loss=0.3440 | eps=21.743 | duree=0.16s
[server] round 147/230 | actifs= 4 | acc=0.891 prec=0.648 recall=0.340 F1=0.446 loss=0.3459 | eps=21.817 | duree=0.136s
[server] round 148/230 | actifs= 4 | acc=0.890 prec=0.636 recall=0.340 F1=0.443 loss=0.3468 | eps=21.891 | duree=0.139s
[server] round 149/230 | actifs= 4 | acc=0.890 prec=0.636 recall=0.340 F1=0.443 loss=0.3499 | eps=21.965 | duree=0.143s
[server] round 150/230 | actifs= 4 | acc=0.891 prec=0.643 recall=0.350 F1=0.453 loss=0.3510 | eps=22.039 | duree=0.133s
[server] round 151/230 | actifs= 4 | acc=0.892 prec=0.649 recall=0.359 F1=0.463 loss=0.3516 | eps=22.112 | duree=0.131s
[server] round 152/230 | actifs= 4 | acc=0.892 prec=0.649 recall=0.359 F1=0.463 loss=0.3517 | eps=22.185 | duree=0.147s
[server] round 153/230 | actifs= 4 | acc=0.890 prec=0.636 recall=0.340 F1=0.443 loss=0.3521 | eps=22.258 | duree=0.157s
[server] round 154/230 | actifs= 4 | acc=0.890 prec=0.636 recall=0.340 F1=0.443 loss=0.3545 | eps=22.331 | duree=0.13s
[server] round 155/230 | actifs= 4 | acc=0.891 prec=0.648 recall=0.340 F1=0.446 loss=0.3532 | eps=22.403 | duree=0.155s
[server] round 156/230 | actifs= 4 | acc=0.891 prec=0.643 recall=0.350 F1=0.453 loss=0.3499 | eps=22.475 | duree=0.127s
[server] round 157/230 | actifs= 4 | acc=0.894 prec=0.661 recall=0.359 F1=0.465 loss=0.3498 | eps=22.547 | duree=0.156s
[server] round 158/230 | actifs= 4 | acc=0.891 prec=0.643 recall=0.350 F1=0.453 loss=0.3506 | eps=22.619 | duree=0.139s
[server] round 159/230 | actifs= 4 | acc=0.889 prec=0.625 recall=0.340 F1=0.440 loss=0.3526 | eps=22.690 | duree=0.125s
[server] round 160/230 | actifs= 4 | acc=0.890 prec=0.636 recall=0.340 F1=0.443 loss=0.3533 | eps=22.761 | duree=0.155s
[server] round 161/230 | actifs= 4 | acc=0.891 prec=0.643 recall=0.350 F1=0.453 loss=0.3539 | eps=22.832 | duree=0.148s
[server] round 162/230 | actifs= 4 | acc=0.891 prec=0.643 recall=0.350 F1=0.453 loss=0.3537 | eps=22.903 | duree=0.149s
[server] round 163/230 | actifs= 4 | acc=0.890 prec=0.636 recall=0.340 F1=0.443 loss=0.3546 | eps=22.974 | duree=0.134s
[server] round 164/230 | actifs= 4 | acc=0.889 prec=0.630 recall=0.330 F1=0.433 loss=0.3572 | eps=23.044 | duree=0.127s
[server] round 165/230 | actifs= 4 | acc=0.889 prec=0.630 recall=0.330 F1=0.433 loss=0.3562 | eps=23.114 | duree=0.153s
[server] round 166/230 | actifs= 4 | acc=0.889 prec=0.635 recall=0.320 F1=0.426 loss=0.3579 | eps=23.184 | duree=0.155s
[server] round 167/230 | actifs= 4 | acc=0.891 prec=0.648 recall=0.340 F1=0.446 loss=0.3588 | eps=23.254 | duree=0.124s
[server] round 168/230 | actifs= 4 | acc=0.891 prec=0.648 recall=0.340 F1=0.446 loss=0.3579 | eps=23.324 | duree=0.116s
[server] round 169/230 | actifs= 4 | acc=0.890 prec=0.636 recall=0.340 F1=0.443 loss=0.3591 | eps=23.393 | duree=0.146s
[server] round 170/230 | actifs= 4 | acc=0.889 prec=0.635 recall=0.320 F1=0.426 loss=0.3599 | eps=23.462 | duree=0.143s
[server] round 171/230 | actifs= 4 | acc=0.891 prec=0.648 recall=0.340 F1=0.446 loss=0.3590 | eps=23.531 | duree=0.129s
[server] round 172/230 | actifs= 4 | acc=0.891 prec=0.654 recall=0.330 F1=0.439 loss=0.3587 | eps=23.600 | duree=0.29s
