[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  91/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3235 | eps=76.292 | duree=0.066s
[server] round  92/230 | actifs= 4 | acc=0.880 prec=0.733 recall=0.107 F1=0.186 loss=0.3235 | eps=76.710 | duree=0.075s
[server] round  93/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3223 | eps=77.126 | duree=0.067s
[server] round  94/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3210 | eps=77.539 | duree=0.068s
[server] round  95/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3201 | eps=77.950 | duree=0.066s
[server] round  96/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3210 | eps=78.360 | duree=0.066s
[server] round  97/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3191 | eps=78.767 | duree=0.081s
[server] round  98/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3201 | eps=79.172 | duree=0.067s
[server] round  99/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3204 | eps=79.575 | duree=0.069s
[server] round 100/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3202 | eps=79.975 | duree=0.068s
[server] round 101/230 | actifs= 4 | acc=0.882 prec=0.765 recall=0.126 F1=0.217 loss=0.3222 | eps=80.374 | duree=0.073s
[server] round 102/230 | actifs= 4 | acc=0.882 prec=0.765 recall=0.126 F1=0.217 loss=0.3232 | eps=80.771 | duree=0.061s
[server] round 103/230 | actifs= 4 | acc=0.882 prec=0.765 recall=0.126 F1=0.217 loss=0.3256 | eps=81.166 | duree=0.071s
